pl_name,ra,dec,X,Y,Z
CoRoT-22 b,280.6671392,6.2191669,-547.6261556548395,35.106126463630055,-303.6450402878683
CoRoT-23 b,279.7826586,4.3577516,66.28916787948616,179.01827799017576,-1043.6548966335938
CoRoT-24 b,101.922543,-3.7192892,-487.62190097038524,317.87155129938355,105.45082547591112
CoRoT-24 c,101.922543,-3.7192892,-487.62190097038524,317.87155129938355,105.45082547591112
CoRoT-25 b,280.6296561,6.5138223,-919.8048846783882,-215.98433115065774,-570.0682882069302
CoRoT-26 b,279.7504991,6.9697828,-119.80145882173147,-98.19309444009488,-1033.6377310588384
CoRoT-27 b,278.4958319,5.5383811,663.9508986946972,-612.1215953085973,-452.9260812531792
CoRoT-28 b,278.6883216,5.5736911,460.154851085509,-395.1117696470724,-468.1672692508862
CoRoT-29 b,278.9020691,6.4795703,509.3837665473567,101.34150421087124,-617.0183295099961
CoRoT-3 b,292.0552827,0.1218359,85.91797489291625,10.519998285973964,-763.8823742353028
CoRoT-30 b,277.6011767,6.8359338,798.6232532889843,492.6652957564675,430.093685798003
CoRoT-31 b,94.820735,-4.4222978,-311.0275215780401,1041.9260483583043,1685.4450949744614
CoRoT-35 b,289.3143526,-2.7747085,-297.62703573187713,-114.37297723019206,1077.0040268174293
CoRoT-36 b,277.7510149,7.1833465,553.0668018692229,697.1824432235721,255.83582879448332
CoRoT-4 b,102.1946233,-0.6727861,565.6706834149572,-450.7258691207899,-67.359205563634
CoRoT-5 b,101.2772396,0.8152163,410.8214659141908,436.0820372757231,647.9313317733369
CoRoT-6 b,281.0725563,6.6632062,-596.2637547153563,-238.16977409933492,-64.41304180224076
CoRoT-7 b,100.9561682,-1.0630076,32.073858066371564,-57.63919545406506,145.66715351151177
CoRoT-7 c,100.9561682,-1.0630076,32.073858066371564,-57.63919545406506,145.66715351151177
CoRoT-7 d,100.9561682,-1.0630076,32.073858066371564,-57.63919545406506,145.66715351151177
CoRoT-8 b,291.5885696,1.4262972,25.39556132149952,174.52397300556498,-269.4518095699466
CoRoT-9 b,280.7866461,6.2040783,-381.4134862959276,30.235576318860684,-155.4414449117501
CoRoTID 223977153 b,100.1951714,9.2573953,187.3719103075729,-31.659025785429673,544.4747522181432
DE CVn b,201.7207198,45.5455449,0.1410413206588492,18.68413620004897,24.135164554108314
DENIS-P J082303.1-491201 b,125.7620668,-49.2003008,,,
DH Tau b,67.4231674,26.5493897,-20.55243519806392,-132.27164719181843,-16.286573384002228
DMPP-1 b,86.7761233,-10.6303217,20.725128162246346,-54.19587308595008,23.331907520604823
DMPP-1 c,86.7761233,-10.6303217,20.725128162246346,-54.19587308595008,23.331907520604823
DMPP-1 d,86.7761233,-10.6303217,20.725128162246346,-54.19587308595008,23.331907520604823
DMPP-1 e,86.7761233,-10.6303217,20.725128162246346,-54.19587308595008,23.331907520604823
DMPP-2 b,27.407731,-34.4590985,-104.62000015967597,-10.33014889353573,-89.30502332134954
DMPP-3 A b,91.624382,-72.5126648,21.67271217116924,-5.673462716995308,-39.29196187446634
DMPP-4 b,293.5826648,51.2358069,-14.137013064123272,-20.643105056615607,-3.9414365155789604
DP Leo b,169.3162193,17.9615717,-62.46187942405705,76.79836632618002,289.2113974317825
DS Tuc A b,354.9154673,-69.196043,3.706744156983966,-0.30092188503256234,-43.90497651307621
EPIC 201170410.02,170.1408561,-4.8070039,,,
EPIC 201238110 b,179.7058532,-3.3894613,91.5905980519786,-23.17909239119733,-128.20811637880504
EPIC 201427007 b,184.6021322,-0.5512886,410.9758319259329,-252.70065443928283,-515.9743110851018
EPIC 201497682 b,168.9366786,0.4880606,-145.55972398491295,-77.27759238340104,191.9966071180969
EPIC 201595106 b,183.7203635,1.9681688,-89.6448762793102,213.59303260536242,14.567861178352745
EPIC 201615463 c,185.1880932,2.2823788,-51.419680698472945,59.63195480028527,-470.3365692007839
EPIC 201754305 d,175.0972238,4.5574311,38.2182748503691,244.6592944187297,225.57500794855568
EPIC 201757695.02,173.9385102,4.6164303,,,
EPIC 201833600 c,169.483654,5.988289,-39.81601842658351,12.09423329905639,254.05769511384997
EPIC 201841433 b,175.206752,6.1348146,-285.44131025008227,42.66466087271712,327.4519190038933
EPIC 205950854 c,333.1100738,-16.3418863,-19.866273973622548,14.604503464998318,242.68564824057032
EPIC 206024342 b,331.2771441,-14.1218019,-5.609732106485264,365.0683773884538,-59.25152555550689
EPIC 206024342 c,331.2771441,-14.1218019,-5.609732106485264,365.0683773884538,-59.25152555550689
EPIC 206024342 d,331.2771441,-14.1218019,-5.609732106485264,365.0683773884538,-59.25152555550689
EPIC 206032309 b,341.2404563,-13.9011223,35.07741708182628,-145.83476159948074,-59.50176757954523
EPIC 206042996 b,337.5136198,-13.6101475,-222.3431268930118,382.0852532973005,-93.11080762820092
EPIC 206042996 c,337.5136198,-13.6101475,-222.3431268930118,382.0852532973005,-93.11080762820092
